Дата операции,Дата платежа,Номер карты,Статус,Сумма операции,Валюта операции,Сумма платежа,Валюта платежа,Кэшбэк,Категория,MCC,Описание,Бонусы (включая кэшбэк),Округление на инвесткопилку,Сумма операции с округлением
2021-05-22 18:21:47,22.05.2021,*7197,OK,-202.98,RUB,-202.98,RUB,,Супермаркеты,5411.0,Магнит,4,0,202.98
2021-05-22 15:32:23,22.05.2021,*7197,OK,-129.0,RUB,-129.0,RUB,,Фастфуд,5814.0,Pingvin Kofe I Chaj,2,0,129.0
2021-05-22 15:04:51,22.05.2021,,OK,11159.16,RUB,11159.16,RUB,,Переводы,,Перевод Кредитная карта. ТП 10.2 RUR,0,0,11159.16
2021-05-22 15:04:50,22.05.2021,,OK,-11159.16,RUB,-11159.16,RUB,,Переводы,,Перевод Кредитная карта. ТП 10.2 RUR,0,0,11159.16
2021-05-22 11:09:48,22.05.2021,*7197,OK,-190.0,RUB,-190.0,RUB,,Фастфуд,5814.0,"""Coffee 3""",3,0,190.0
2021-05-22 10:55:52,22.05.2021,*7197,OK,-110.0,RUB,-110.0,RUB,,Фастфуд,5814.0,Vypechka Am,2,0,110.0
2021-05-21 19:09:32,21.05.2021,*7197,OK,-150.0,RUB,-150.0,RUB,,Сувениры,5947.0,Fiocco Rosa,3,0,150.0
2021-05-21 17:41:29,21.05.2021,*7197,OK,-146.0,RUB,-146.0,RUB,,Супермаркеты,5411.0,Колхоз,2,0,146.0
2021-05-21 10:38:30,21.05.2021,*7197,OK,-268.1,RUB,-268.1,RUB,,Супермаркеты,5411.0,Магнит,5,0,268.1
2021-05-21 10:17:35,21.05.2021,*7197,OK,-244.0,RUB,-244.0,RUB,,Различные товары,5943.0,Mitrankov M.V.,4,0,244.0
2021-05-20 18:50:27,20.05.2021,*7197,OK,28626.0,RUB,28626.0,RUB,,Бонусы,,Компенсация покупки,0,0,28626.0
2021-05-20 16:55:14,20.05.2021,*7197,OK,-75.0,RUB,-75.0,RUB,,Фастфуд,5814.0,Додо Пицца,1,0,75.0
2021-05-20 16:45:55,22.05.2021,*7197,OK,-304.0,RUB,-304.0,RUB,,Транспорт,4121.0,Яндекс Такси,6,0,304.0
2021-05-20 14:55:37,20.05.2021,*7197,OK,-10.0,RUB,-10.0,RUB,,Связь,7379.0,Devajs Servis.,0,0,10.0
2021-05-20 14:30:53,20.05.2021,*7197,OK,-209.71,RUB,-209.71,RUB,,Супермаркеты,5411.0,Магнит,4,0,209.71
2021-05-20 14:09:13,20.05.2021,*7197,OK,-98.0,RUB,-98.0,RUB,,Супермаркеты,5411.0,Колхоз,1,0,98.0
2021-05-20 11:05:22,20.05.2021,*7197,OK,-28626.0,RUB,-28626.0,RUB,,Турагентства,4722.0,AviaKassa.com,0,0,28626.0
2021-05-20 10:15:32,20.05.2021,*7197,OK,-40.0,RUB,-40.0,RUB,,Сервис,7221.0,Sp_Fotostudiya Mariya,0,0,40.0
2021-05-19 15:51:09,19.05.2021,*7197,OK,-66.0,RUB,-66.0,RUB,,Различные товары,5331.0,Razumnyj Vybor,1,0,66.0
2021-05-19 15:42:00,20.05.2021,*7197,OK,-428.2,RUB,-428.2,RUB,,Госуслуги,9402.0,Почта России,8,0,428.2
2021-05-19 15:19:31,20.05.2021,*7197,OK,-14.0,RUB,-14.0,RUB,,Госуслуги,9402.0,Почта России,0,0,14.0
2021-05-19 14:20:29,19.05.2021,*7197,OK,-129.0,RUB,-129.0,RUB,,Фастфуд,5814.0,IP Yakubovskaya M.V.,2,0,129.0
2021-05-19 13:27:25,20.05.2021,*7197,OK,-14706.18,RUB,-14706.18,RUB,,Отели,7011.0,Airbnb,294,0,14706.18
2021-05-19 09:56:55,19.05.2021,*7197,OK,-186.95,RUB,-186.95,RUB,,Супермаркеты,5411.0,Магнит,3,0,186.95
2021-05-19 09:45:17,19.05.2021,*4556,OK,-299.0,RUB,-299.0,RUB,14.0,Аптеки,5912.0,Apteka2965 Antares,14,0,299.0
2021-05-18 19:07:35,18.05.2021,*7197,OK,-33.0,RUB,-33.0,RUB,,Фастфуд,5814.0,McDonald's,0,0,33.0
2021-05-18 18:34:32,18.05.2021,*7197,OK,-129.0,RUB,-129.0,RUB,,Фастфуд,5814.0,IP Yakubovskaya M.V.,2,0,129.0
2021-05-18 15:27:34,18.05.2021,*7197,OK,-149.0,RUB,-149.0,RUB,,Супермаркеты,5411.0,Колхоз,2,0,149.0
2021-05-18 09:47:23,18.05.2021,*7197,OK,-55.99,RUB,-55.99,RUB,,Супермаркеты,5411.0,Магнит,1,0,55.99
2021-05-17 16:49:15,17.05.2021,*7197,OK,-234.0,RUB,-234.0,RUB,,Дом и ремонт,5211.0,Строитель,4,0,234.0
2021-05-17 16:41:24,17.05.2021,*7197,OK,-129.0,RUB,-129.0,RUB,,Фастфуд,5814.0,Pingvin Kofe I Chaj,2,0,129.0
2021-05-17 13:24:41,17.05.2021,*7197,OK,-129.0,RUB,-129.0,RUB,,Фастфуд,5814.0,Pingvin Kofe I Chaj,2,0,129.0
2021-05-17 13:13:34,17.05.2021,*4556,OK,-159.0,RUB,-159.0,RUB,7.0,Аптеки,5912.0,Apteka2965 Antares,7,0,159.0
2021-05-17 12:18:09,17.05.2021,*7197,OK,-110.0,RUB,-110.0,RUB,,Фастфуд,5814.0,Vypechka Am,2,0,110.0
2021-05-17 09:56:49,17.05.2021,*7197,OK,-38.99,RUB,-38.99,RUB,,Супермаркеты,5411.0,Магнит,0,0,38.99
2021-05-17 09:51:13,17.05.2021,*7197,OK,-572.68,RUB,-572.68,RUB,,Супермаркеты,5411.0,Магнит,11,0,572.68
2021-05-16 22:24:32,16.05.2021,,OK,258.0,RUB,258.0,RUB,,Бонусы,,Вознаграждение за операции покупок,0,0,258.0
2021-05-16 21:51:24,16.05.2021,,OK,443.81,RUB,443.81,RUB,,Бонусы,,Проценты на остаток по счету,0,0,443.81
2021-05-16 18:41:06,16.05.2021,*7197,OK,-39.2,RUB,-39.2,RUB,,Фастфуд,5814.0,Rumyanyj Khleb,0,0,39.2
2021-05-16 16:02:01,16.05.2021,,OK,-400.0,RUB,-400.0,RUB,,Переводы,,Людмила Щ.,0,0,400.0
2021-05-16 16:02:01,16.05.2021,,OK,-30.0,RUB,-30.0,RUB,,Услуги банка,,Комиссия за операцию,0,0,30.0
2021-05-16 10:52:19,17.05.2021,*7197,OK,-86.0,RUB,-86.0,RUB,,Ж/д билеты,4111.0,"Udelnaya, AO Szppk",1,0,86.0
2021-05-16 10:49:01,18.05.2021,*7197,OK,-300.0,RUB,-300.0,RUB,,Транспорт,4111.0,Метро Санкт-Петербург,6,0,300.0
2021-05-16 10:29:04,16.05.2021,,OK,-50.0,RUB,-50.0,RUB,,Переводы,,Игорь С.,0,0,50.0
2021-05-16 10:29:04,16.05.2021,,OK,-30.0,RUB,-30.0,RUB,,Услуги банка,,Комиссия за операцию,0,0,30.0
2021-05-15 22:03:53,16.05.2021,*7197,OK,-72.44,RUB,-72.44,RUB,,Супермаркеты,5411.0,Магнит,1,0,72.44
2021-05-15 16:17:19,15.05.2021,*7197,OK,-20.0,RUB,-20.0,RUB,,Связь,7379.0,Devajs Servis.,0,0,20.0
2021-05-15 15:25:38,15.05.2021,*7197,OK,-20.0,RUB,-20.0,RUB,,Фастфуд,5814.0,IP Yakubovskaya M.V.,0,0,20.0
2021-05-15 15:25:05,15.05.2021,*7197,OK,-129.0,RUB,-129.0,RUB,,Фастфуд,5814.0,IP Yakubovskaya M.V.,2,0,129.0
2021-05-15 12:02:48,15.05.2021,*7197,OK,-111.98,RUB,-111.98,RUB,,Супермаркеты,5411.0,Магнит,2,0,111.98
2021-05-15 06:01:36,15.05.2021,*4556,OK,-250.0,RUB,-250.0,RUB,,Связь,4814.0,МТС,0,0,250.0
2021-05-14 19:58:25,14.05.2021,*7197,OK,-20.0,RUB,-20.0,RUB,,Фастфуд,5814.0,IP Yakubovskaya M.V.,0,0,20.0
2021-05-14 19:10:10,14.05.2021,*7197,OK,-33.0,RUB,-33.0,RUB,,Фастфуд,5814.0,McDonald's,0,0,33.0
2021-05-14 18:48:07,14.05.2021,*7197,OK,-146.0,RUB,-146.0,RUB,,Супермаркеты,5411.0,Колхоз,2,0,146.0
2021-05-14 13:46:49,14.05.2021,*7197,OK,-64.0,RUB,-64.0,RUB,,Фастфуд,5814.0,McDonald's,1,0,64.0
2021-05-14 10:44:47,14.05.2021,*4556,OK,-136.0,RUB,-136.0,RUB,6.0,Аптеки,5912.0,Живика,6,0,136.0
2021-05-14 10:44:13,14.05.2021,*4556,OK,-60.0,RUB,-60.0,RUB,3.0,Аптеки,5912.0,Живика,3,0,60.0
2021-05-14 10:23:24,14.05.2021,*7197,OK,-56.0,RUB,-56.0,RUB,,Фастфуд,5814.0,Rumyanyj Khleb,1,0,56.0
2021-05-14 10:22:10,14.05.2021,*7197,OK,-146.0,RUB,-146.0,RUB,,Супермаркеты,5411.0,Колхоз,2,0,146.0
2021-05-14 10:08:14,16.05.2021,*7197,OK,-1160.0,RUB,-1160.0,RUB,,Транспорт,4111.0,Метро Санкт-Петербург,23,0,1160.0
2021-05-13 18:48:04,13.05.2021,*7197,OK,-291.54,RUB,-291.54,RUB,,Супермаркеты,5411.0,Магнит,5,0,291.54
2021-05-13 15:01:40,13.05.2021,*7197,OK,-129.0,RUB,-129.0,RUB,,Фастфуд,5814.0,Pingvin Kofe I Chaj,2,0,129.0
2021-05-13 14:27:12,13.05.2021,*7197,OK,-110.0,RUB,-110.0,RUB,,Фастфуд,5814.0,Vypechka Am,2,0,110.0
2021-05-13 11:10:50,13.05.2021,*7197,OK,-146.0,RUB,-146.0,RUB,,Супермаркеты,5411.0,Колхоз,2,0,146.0
2021-05-12 22:04:34,13.05.2021,*7197,OK,-67.12,RUB,-67.12,RUB,,Супермаркеты,5411.0,Магнит,1,0,67.12
2021-05-12 19:58:58,12.05.2021,*7197,OK,-285.96,RUB,-285.96,RUB,,Супермаркеты,5411.0,Магнит,5,0,285.96
2021-05-12 19:18:00,12.05.2021,*7197,OK,-110.0,RUB,-110.0,RUB,,Аптеки,5912.0,Озерки,2,0,110.0
2021-05-12 17:47:37,12.05.2021,*4556,OK,-174.0,RUB,-174.0,RUB,8.0,Аптеки,5912.0,Apteka2965 Antares,8,0,174.0
2021-05-12 17:15:49,12.05.2021,*7197,OK,-55.0,RUB,-55.0,RUB,,Различные товары,5311.0,Fix Price,1,0,55.0
2021-05-12 17:15:09,12.05.2021,*7197,OK,-286.5,RUB,-286.5,RUB,,Различные товары,5311.0,Fix Price,5,0,286.5
2021-05-12 14:16:55,12.05.2021,*7197,OK,-98.0,RUB,-98.0,RUB,,Супермаркеты,5411.0,Колхоз,1,0,98.0
2021-05-12 13:57:38,12.05.2021,*4556,OK,7900.0,RUB,7900.0,RUB,,Пополнения,,Внесение наличных через банкомат Тинькофф,0,0,7900.0
2021-05-12 13:15:26,14.05.2021,*7197,OK,-120.0,RUB,-120.0,RUB,,Транспорт,4121.0,Яндекс Такси,2,0,120.0
2021-05-12 10:32:58,14.05.2021,*7197,OK,-165.0,RUB,-165.0,RUB,,Транспорт,4121.0,Яндекс Такси,3,0,165.0
2021-05-11 21:39:00,12.05.2021,*7197,OK,-158.3,RUB,-158.3,RUB,,Супермаркеты,5411.0,Магнит,3,0,158.3
2021-05-11 21:29:19,12.05.2021,*7197,OK,-463.44,RUB,-463.44,RUB,,Супермаркеты,5411.0,Prisma,9,0,463.44
2021-05-11 20:35:40,11.05.2021,*7197,OK,-33.0,RUB,-33.0,RUB,,Книги,5111.0,Sp_Centr Uslug,0,0,33.0
2021-05-11 20:26:33,11.05.2021,*7197,OK,-129.0,RUB,-129.0,RUB,,Фастфуд,5814.0,IP Yakubovskaya M.V.,2,0,129.0
2021-05-11 17:53:40,11.05.2021,*7197,OK,-98.0,RUB,-98.0,RUB,,Супермаркеты,5411.0,Колхоз,1,0,98.0
2021-05-11 17:50:39,11.05.2021,*7197,OK,-56.0,RUB,-56.0,RUB,,Фастфуд,5814.0,Rumyanyj Khleb,1,0,56.0
2021-05-11 17:47:04,13.05.2021,*7197,OK,-168.0,RUB,-168.0,RUB,,Транспорт,4121.0,Яндекс Такси,3,0,168.0
2021-05-11 14:38:50,11.05.2021,*7197,OK,-170.0,RUB,-170.0,RUB,,Фастфуд,5814.0,Bufet Z.Ozhidanie Luga,3,0,170.0
2021-05-11 12:30:12,11.05.2021,*7197,OK,-48.0,RUB,-48.0,RUB,,Супермаркеты,5499.0,Produkty,0,0,48.0
